Data;DataExcel;Regiao;Sistema;Classe;TipoConsumidor; Consumo ;Consumidores
20240601;01/06/2024;Norte;SUDESTE / CENTRO - OESTE;Rural;Livre;74,16;1
20240601;01/06/2024;Sudeste;SUDESTE / CENTRO - OESTE;Comercial;Cativo;2.489.391,48;2.733.265
20240601;01/06/2024;Sudeste;SUDESTE / CENTRO - OESTE;Comercial;Livre;1.916.466,92;16.094
20240601;01/06/2024;Sudeste;SUDESTE / CENTRO - OESTE;Industrial;Cativo;615.676,52;137.503
20240601;01/06/2024;Sudeste;SUDESTE / CENTRO - OESTE;Industrial;Livre;7.818.194,14;8.531
20240601;01/06/2024;Sudeste;SUDESTE / CENTRO - OESTE;Outros;Cativo;1.417.255,41;296.718
20240601;01/06/2024;Sudeste;SUDESTE / CENTRO - OESTE;Outros;Livre;540.539,95;931
20240601;01/06/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;6.360.448,04;36.240.245
20240601;01/06/2024;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;499,70;6
20240601;01/06/2024;Sudeste;SUDESTE / CENTRO - OESTE;Rural;Cativo;742.042,00;1.007.674
20240601;01/06/2024;Sudeste;SUDESTE / CENTRO - OESTE;Rural;Livre;92.990,02;261
20240601;01/06/2024;Sul;SUL;Comercial;Cativo;932.836,35;1.101.834
20240601;01/06/2024;Sul;SUL;Comercial;Livre;496.796,07;5.206
20240601;01/06/2024;Sul;SUL;Industrial;Cativo;443.650,22;230.043
20240601;01/06/2024;Sul;SUL;Industrial;Livre;2.638.589,65;4.894
20240601;01/06/2024;Sul;SUL;Outros;Cativo;495.773,62;129.673
20240601;01/06/2024;Sul;SUL;Outros;Livre;53.828,22;319
20240601;01/06/2024;Sul;SUL;Residencial;Cativo;2.214.829,93;11.283.364
20240601;01/06/2024;Sul;SUL;Residencial;Livre;9,11;2
20240601;01/06/2024;Sul;SUL;Rural;Cativo;548.863,69;862.133
20240601;01/06/2024;Sul;SUL;Rural;Livre;293.028,48;355
20240501;01/05/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Comercial;Cativo;487.997,53;505.014
20240501;01/05/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Comercial;Livre;203.787,64;2.028
20240501;01/05/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Industrial;Cativo;89.747,57;32.127
20240501;01/05/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Industrial;Livre;865.176,76;880
20240501;01/05/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Outros;Cativo;390.567,10;63.400
20240501;01/05/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Outros;Livre;27.329,24;171
20240501;01/05/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.396.686,18;6.352.535
20240501;01/05/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Rural;Cativo;308.074,91;505.947
20240501;01/05/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Rural;Livre;13.469,04;110
20240501;01/05/2024;Nordeste;NORDESTE;Comercial;Cativo;806.722,51;1.299.014
20240501;01/05/2024;Nordeste;NORDESTE;Comercial;Livre;444.956,30;3.816
20240501;01/05/2024;Nordeste;NORDESTE;Industrial;Cativo;146.092,31;32.483
20240501;01/05/2024;Nordeste;NORDESTE;Industrial;Livre;1.761.648,42;1.645
20240501;01/05/2024;Nordeste;NORDESTE;Outros;Cativo;782.160,69;260.326
20240501;01/05/2024;Nordeste;NORDESTE;Outros;Livre;162.599,02;454
20240501;01/05/2024;Nordeste;NORDESTE;Residencial;Cativo;2.676.403,04;19.835.677
20240501;01/05/2024;Nordeste;NORDESTE;Residencial;Livre;33,00;1
20240501;01/05/2024;Nordeste;NORDESTE;Rural;Cativo;351.340,12;1.051.738
20240501;01/05/2024;Nordeste;NORDESTE;Rural;Livre;8.404,18;109
20240501;01/05/2024;Nordeste;NORTE INTERLIGADO;Comercial;Cativo;66.371,17;60.767
20240501;01/05/2024;Nordeste;NORTE INTERLIGADO;Comercial;Livre;47.330,39;440
20240501;01/05/2024;Nordeste;NORTE INTERLIGADO;Industrial;Cativo;11.593,96;2.744
20240501;01/05/2024;Nordeste;NORTE INTERLIGADO;Industrial;Livre;516.616,51;108
20240501;01/05/2024;Nordeste;NORTE INTERLIGADO;Outros;Cativo;112.499,87;39.349
20240501;01/05/2024;Nordeste;NORTE INTERLIGADO;Outros;Livre;1.042,11;43
20240501;01/05/2024;Nordeste;NORTE INTERLIGADO;Residencial;Cativo;428.694,50;2.535.290
20240501;01/05/2024;Nordeste;NORTE INTERLIGADO;Residencial;Livre;65,03;1
20240501;01/05/2024;Nordeste;NORTE INTERLIGADO;Rural;Cativo;29.994,22;119.886
20240501;01/05/2024;Nordeste;NORTE INTERLIGADO;Rural;Livre;1.611,32;11
20240501;01/05/2024;Nordeste;SISTEMAS ISOLADOS;Comercial;Cativo;1.133,00;283
20240501;01/05/2024;Nordeste;SISTEMAS ISOLADOS;Industrial;Cativo;23,00;3
20240501;01/05/2024;Nordeste;SISTEMAS ISOLADOS;Outros;Cativo;343,00;106
20240501;01/05/2024;Nordeste;SISTEMAS ISOLADOS;Residencial;Cativo;977,00;718
20240501;01/05/2024;Nordeste;SISTEMAS ISOLADOS;Rural;Cativo;7,00;6
20240501;01/05/2024;Norte;NORTE INTERLIGADO;Comercial;Cativo;267.979,87;260.533
20240501;01/05/2024;Norte;NORTE INTERLIGADO;Comercial;Livre;135.051,13;938
20240501;01/05/2024;Norte;NORTE INTERLIGADO;Industrial;Cativo;56.178,78;6.933
20240501;01/05/2024;Norte;NORTE INTERLIGADO;Industrial;Livre;1.347.536,22;574
20240501;01/05/2024;Norte;NORTE INTERLIGADO;Outros;Cativo;234.008,80;41.013
20240501;01/05/2024;Norte;NORTE INTERLIGADO;Outros;Livre;31.115,58;221
20240501;01/05/2024;Norte;NORTE INTERLIGADO;Residencial;Cativo;787.355,72;3.940.931
20240501;01/05/2024;Norte;NORTE INTERLIGADO;Rural;Cativo;50.225,96;233.950
20240501;01/05/2024;Norte;NORTE INTERLIGADO;Rural;Livre;3.719,11;38
20240501;01/05/2024;Norte;SISTEMAS ISOLADOS;Comercial;Cativo;45.675,96;46.102
20240501;01/05/2024;Norte;SISTEMAS ISOLADOS;Industrial;Cativo;5.994,00;766
20240501;01/05/2024;Norte;SISTEMAS ISOLADOS;Industrial;Livre;3.934,01;1
20240501;01/05/2024;Norte;SISTEMAS ISOLADOS;Outros;Cativo;47.274,46;13.931
20240501;01/05/2024;Norte;SISTEMAS ISOLADOS;Residencial;Cativo;138.789,90;605.810
20240501;01/05/2024;Norte;SISTEMAS ISOLADOS;Rural;Cativo;9.520,86;49.016
20240501;01/05/2024;Norte;SUDESTE / CENTRO - OESTE;Comercial;Cativo;69.776,22;67.156
20240501;01/05/2024;Norte;SUDESTE / CENTRO - OESTE;Comercial;Livre;18.296,94;159
20240501;01/05/2024;Norte;SUDESTE / CENTRO - OESTE;Industrial;Cativo;15.352,38;2.672
20240501;01/05/2024;Norte;SUDESTE / CENTRO - OESTE;Industrial;Livre;35.526,78;57
20240501;01/05/2024;Norte;SUDESTE / CENTRO - OESTE;Outros;Cativo;55.508,67;8.584
20240501;01/05/2024;Norte;SUDESTE / CENTRO - OESTE;Residencial;Cativo;210.200,21;740.006
